file;;row;;col;;error;;analyzer
internal/buffer/buffer.go;;268;;-1;;line is 134 characters;;(lll)
internal/buffer/buffer.go;;710;;-1;;line is 132 characters;;(lll)
internal/buffer/serialize.go;;60;;-1;;line is 356 characters;;(lll)
internal/buffer/line_array_test.go;;52;;-1;;line is 147 characters;;(lll)
internal/shell/job.go;;62;;-1;;line is 135 characters;;(lll)
internal/shell/terminal.go;;72;;-1;;line is 152 characters;;(lll)
internal/display/infowindow.go;;181;;-1;;line is 167 characters;;(lll)
internal/display/termwindow.go;;86;;-1;;line is 132 characters;;(lll)
internal/action/actions.go;;63;;-1;;line is 141 characters;;(lll)
internal/action/actions.go;;195;;-1;;line is 139 characters;;(lll)
internal/action/actions.go;;221;;-1;;line is 154 characters;;(lll)
internal/action/actions.go;;557;;-1;;line is 142 characters;;(lll)
internal/action/actions.go;;850;;-1;;line is 126 characters;;(lll)
internal/action/actions.go;;989;;-1;;line is 122 characters;;(lll)
internal/action/actions.go;;1015;;-1;;line is 123 characters;;(lll)
internal/action/bufpane.go;;453;;-1;;line is 128 characters;;(lll)
internal/action/terminal_supported.go;;17;;-1;;line is 156 characters;;(lll)
internal/config/rtfiles.go;;50;;13;;append to slice `allFiles` with non-zero initialized length;;(makezero)
internal/config/rtfiles.go;;51;;14;;append to slice `realFiles` with non-zero initialized length;;(makezero)
internal/views/splits.go;;34;;11;;struct of size 104 bytes could be of size 96 bytes;;(maligned)
internal/buffer/buffer.go;;75;;19;;struct of size 312 bytes could be of size 296 bytes;;(maligned)
internal/buffer/buffer.go;;187;;13;;struct of size 112 bytes could be of size 104 bytes;;(maligned)
internal/buffer/line_array.go;;36;;18;;struct of size 56 bytes could be of size 48 bytes;;(maligned)
internal/display/bufwindow.go;;15;;16;;struct of size 80 bytes could be of size 64 bytes;;(maligned)
internal/action/bufpane.go;;192;;14;;struct of size 160 bytes could be of size 144 bytes;;(maligned)
cmd/micro/micro_test.go;;158;;15;;avoid allocations with (*os.File).WriteString;;(mirror)
